Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total_for_5_years
Nicaragua,,,,,,,,,,,,,,,,,,,,81.4,98.9,85.1,86.7,81.6,433.7
Niger,,,,,,,,,,,,,,,,,,,106.1,145.6,,166.2,200.2,229.6,847.7
Nigeria,,,,,,,,,,,,,,,,,,,,2357.7,2065.6,1723.2,1621.2,2043.1,9810.7
North Macedonia,,,,,,,,,,,,,,,,,,,,124.2,100.0,101.5,111.8,117.4,554.9
Norway,,,,,,,,,,,,,,,,,,,,7334.1,5815.2,5997.4,6465.8,7067.1,32679.5
Oman,,,,,,,,,,,,,,,,,,,,8213.5,7533.6,7936.0,6802.7,6710.0,37195.7
Pakistan,,,,,,,,,,,,,,,,,,,,8654.9,9483.5,9973.8,11461.3,11375.5,50949.0
Panama,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Papua New Guinea,,,,,,,,,,,,,,,,,,,,112.4,99.8,79.1,71.9,60.6,423.8
Paraguay,,,,,,,,,,,,,,,,,,,,398.4,386.5,343.2,348.2,386.6,1862.9
Peru,,,,,,,,,,,,,,,,,,,,3217.6,3312.2,2536.1,2665.8,2708.9,14440.6
Philippines,,,,,,,,,,,,,,,,,,,,3103.1,3335.6,4358.0,3755.4,3769.7,18321.8
Poland,,,,,,,,,,,,,,,,,,,,10345.2,10212.8,9164.2,9870.7,11596.2,51189.0
Portugal,,,,,,,,,,,,,,,,,,,,4111.5,3565.4,3569.1,3646.5,4247.8,19140.4
Qatar,,,,,,,,,,,,1065.7,1562.2,2317.5,1948.4,1876.8,,,,,,,,,8770.6
Romania,,,,,,,,,,,,,,,,,,,,2691.5,2580.6,2644.2,3622.1,4608.7,16147.0
Russia,,,,,,,,,,,,,,,,,,,,84696.5,66418.7,69245.3,66527.3,61387.5,348275.4
Rwanda,,,,,,,,,,,,,,,,,,,,90.9,103.6,107.3,115.7,119.0,536.5
Saudi Arabia,,,,,,,,,,,,,,,,,,,,80762.4,87185.9,63672.8,70400.0,67554.7,369575.7
Senegal,,,,,,,,,,,,,,,,,,,,239.9,214.8,304.8,305.4,346.8,1411.7
Serbia,,,,,,,,,,,,,,,,,,,,913.4,724.2,710.4,801.7,904.3,4053.9
Seychelles,,,,,,,,,,,,,,,,,,,,32.6,20.6,26.7,22.3,22.8,125.0
Sierra Leone,,,,,,,,,,,,,,,,,,,,48.8,39.2,37.4,39.6,29.6,194.7
Singapore,,,,,,,,,,,,,,,,,,,,9596.6,9383.8,9873.3,10195.7,10841.0,49890.5
Slovakia,,,,,,,,,,,,,,,,,,,,997.7,985.9,1003.0,1049.1,1280.6,5316.4
Slovenia,,,,,,,,,,,,,,,,,,,,486.2,400.8,449.2,473.8,529.5,2339.4
Somalia,,,,,,,,,,,,,,,,,,,,60.3,46.6,47.7,60.4,61.6,276.5
